Municipio,Desaparecidos,Habitantes,Desaparecidos_1000,Mun_Caguan
FALAN,21,7423,"2,829044861",No
EL GUAMO,26,9212,"2,822405558",No
BAHÍA SOLANO,29,10443,"2,776979795",No
MANÍ,49,17737,"2,762586683",No
CHIVOR,7,2560,"2,734375",No
EL CAIRO,18,6588,"2,732240437",No
NATAGAIMA,40,14746,"2,712600027",No
SAN PEDRO DE LOS MILAGROS,64,23603,"2,711519722",No
CAROLINA,11,4096,"2,685546875",No
SANTIAGO,10,3737,"2,67594327",No
SAN CARLOS DE GUAROA,35,13084,"2,675022929",No
ALBANIA,12,4489,"2,673201158",No
ISTMINA,83,31298,"2,651926641",No
LA VICTORIA,3,1132,"2,650176678",No
CUMARIBO,214,80837,"2,647302597",No
LA UNIÓN,61,23094,"2,641378713",No
HERVEO,19,7250,"2,620689655",No
GUAYATÁ,9,3437,"2,6185627",No
TOPAIPÍ,12,4594,"2,612102743",No
VILLARRICA,13,4985,"2,60782347",No
ANGOSTURA,31,11896,"2,605917956",No
LA PEÑA,17,6536,"2,600979192",No
PATÍA,99,38094,"2,598834462",No
PLATO,170,65641,"2,589844762",No
SAN LUIS,35,13532,"2,58646172",No
PUERTO SALGAR,46,17878,"2,572994742",No
GAMARRA,42,16429,"2,556455049",No
RIOBLANCO,58,22732,"2,551469294",No
SAN JUAN DE URABÁ,55,21608,"2,545353573",No
RONCESVALLES,14,5507,"2,542218994",No
SANTA BÁRBARA,71,28034,"2,532638938",No
ALTOS DEL ROSARIO,30,11881,"2,52503998",No
CAPITANEJO,14,5582,"2,508061627",No
BARRANCO DE LOBA,39,15566,"2,505460619",No
RIOFRÍO,39,15657,"2,49089864",No
BUENAVENTURA,781,315743,"2,473530688",No
CARMEN DEL DARIÉN,49,19825,"2,471626734",No
ANDES,112,45577,"2,457379819",No
HISPANIA,14,5765,"2,428447528",No
SABANALARGA,23,9567,"2,404097418",No
LIBORINA,25,10405,"2,402691014",No
MURILLO,10,4164,"2,401536984",No
URUMITA,28,11688,"2,395619439",No
ATACO,46,19214,"2,394087644",No
SAN PEDRO,47,19675,"2,388818297",No
SAN MARTÍN DE LOBA,36,15275,"2,356792144",No
TITIRIBÍ,26,11053,"2,352302542",No
SANTA MARTA,1295,552391,"2,344353909",No
TRINIDAD,32,13660,"2,342606149",No
ARBOLEDAS,24,10246,"2,342377513",No
SAN ANDRÉS DE TUMACO,601,257326,"2,335558785",No
TARSO,15,6425,"2,33463035",No
MACARAVITA,5,2144,"2,332089552",No
PUEBLORRICO,21,9007,"2,331519929",No
HACARÍ,25,10804,"2,313957793",No
SAN JUAN NEPOMUCENO,91,39506,"2,303447578",No
FLORIÁN,13,5694,"2,283105023",No
HATO COROZAL,28,12298,"2,276792974",No
MONTELÍBANO,198,87187,"2,270980765",No
MANZANARES,41,18106,"2,264442726",No
ARGELIA,61,27013,"2,258171991",No
SANTA ROSA DEL SUR,80,35452,"2,256572267",No
VALPARAÍSO(ANTIOQUIA),15,6674,"2,24752772",No
MIRANDA,73,32602,"2,239126434",No
TENERIFE,31,13846,"2,238913766",No
CAPARRAPÍ,31,13931,"2,225253033",No
SURATÁ,9,4062,"2,215657312",No
SAN JACINTO DEL CAUCA,24,10915,"2,198808978",No
BETULIA,36,16392,"2,196193265",No
PULÍ,8,3687,"2,169785734",No
VILLAHERMOSA,20,9233,"2,166143182",No
LA SALINA,3,1390,"2,158273381",No
EL ROSARIO,26,12072,"2,153744201",No
SIPÍ,7,3271,"2,140018343",No
SUAITA,22,10349,"2,125809257",No
MALLAMA,19,8954,"2,121956667",No
AGUADA,4,1902,"2,103049422",No
LÍBANO,76,36414,"2,087109354",No
HATO,5,2415,"2,070393375",No
BAJO BAUDÓ,64,30959,"2,067250234",No
RIOSUCIO,109,52878,"2,061348765",No
BELMIRA,13,6307,"2,061201839",No
QUINCHÍA,57,27746,"2,054350177",No
EL PEÑÓN,17,8281,"2,052892163",No
EL SANTUARIO,77,37747,"2,03989721",No
CONCEPCIÓN,10,4906,"2,038320424",No
PALOCABILDO,20,9866,"2,027163998",No
JARDÍN,31,15293,"2,027071209",No
BARAYA,17,8403,"2,023086993",No
ROLDANILLO,75,37248,"2,013530928",No
TIBACUY,10,4975,"2,010050251",No
VERSALLES,14,7037,"1,989484155",No
QUÍPAMA,10,5049,"1,980590216",No
VILLANUEVA,51,25876,"1,970938321",No
OBANDO,24,12193,"1,968342492",No
COROMORO,10,5118,"1,953888238",No
ZAPATOCA,19,9746,"1,949517751",No
TÁMARA,13,6670,"1,949025487",No
CALIMA,36,18495,"1,946472019",No
