County,Missing_people,Population,Process_Peace_Area
YOLOMBÓ,10,22321,No
EL COLEGIO,10,16835,No
MONTECRISTO,10,10457,No
GACHETÁ,10,9696,No
BOJAYÁ,10,8156,No
LA PRIMAVERA,10,8108,No
CUMBITARA,10,6341,No
ANGELÓPOLIS,10,5900,No
CUBARRAL,10,5232,No
ÚTICA,10,4100,No
RIONEGRO,9,64332,No
ANSERMA,9,38961,No
PAZ DE ARIPORO,9,27228,No
BOLÍVAR,9,27108,No
LA MESA,9,21437,No
ISNOS,9,20530,No
EL ZULIA,9,20423,No
SAN PEDRO,9,16490,No
LA APARTADA,9,16433,No
MISTRATÓ,9,14592,No
YACOPÍ,9,14297,No
CHARALÁ,9,14095,No
BARRANCO DE LOBA,9,13282,No
PALOCABILDO,9,12614,No
TENERIFE,9,11865,No
UNGUÍA,9,10217,No
DOLORES,9,9810,No
CISNEROS,9,9523,No
EL CARMEN DE ATRATO,9,6239,No
TOPAIPÍ,9,4672,No
GARZÓN,8,58937,No
EL CERRITO,8,53900,No
CHAPARRAL,8,49747,No
EL PASO,8,27069,No
VILLANUEVA,8,19691,No
MERCADERES,8,19538,No
SALAMINA,8,16233,No
TAMALAMEQUE,8,13155,No
ANGOSTURA,8,12339,No
EL ÁGUILA,8,11324,No
EL CAIRO,8,9688,No
PEQUE,8,7802,No
LA ESPERANZA,8,6906,No
CHISCAS,8,5338,No
CHAGUANÍ,8,4133,No
CABUYARO,8,4058,No
PUERTO RONDÓN,8,4011,No
URIBIA,7,94610,No
SANTANDER DE QUILICHAO,7,92169,No
LA ESTRELLA,7,53062,No
TIMBÍO,7,32553,No
SANTA ROSA DE OSOS,7,31105,No
MAJAGUAL,7,29139,No
BOLÍVAR,7,27108,No
FREDONIA,7,24406,No
ANSERMANUEVO,7,19400,No
TÁMESIS,7,18642,No
BAJO BAUDÓ,7,18191,No
NATAGAIMA,7,18016,No
PÁEZ,7,17211,No
MITÚ,7,16814,No
GUAMAL,7,16639,No
BALBOA,7,13716,No
EL PLAYÓN,7,13397,No
CONSACÁ,7,12586,No
NUEVA GRANADA,7,12529,No
FALAN,7,10492,No
SALAZAR,7,10480,No
ALBANIA,7,10126,No
TRINIDAD,7,10031,No
ARBOLEDAS,7,9588,No
SAN ANTONIO DEL TEQUENDAMA,7,9490,No
LA MERCED,7,9029,No
ALTOS DEL ROSARIO,7,8759,No
SASAIMA,7,8677,No
ARROYOHONDO,7,8594,No
URAMITA,7,7863,No
MALLAMA,7,7843,No
EL GUAMO,7,7713,No
CAPITANEJO,7,6488,No
PARATEBUENO,7,5451,No
ALEJANDRÍA,7,4754,No
CARMEN DEL DARIÉN,7,4413,No
MURINDÓ,7,3428,No
TURBACO,6,77220,No
PLANETA RICA,6,59883,No
LOS PATIOS,6,59861,No
COROZAL,6,59816,No
TÚQUERRES,6,41366,No
ISTMINA,6,33067,No
SANTIAGO DE TOLÚ,6,30001,No
CHIMICHAGUA,6,28746,No
SAN AGUSTÍN,6,27631,No
SAN BENITO ABAD,6,25999,No
CORINTO,6,23783,No
ATACO,6,20925,No
SAN PABLO,6,19877,No
SAN PEDRO DE LOS MILAGROS,6,18504,No
PEÑOL,6,18177,No
EL CARMEN DE CHUCURÍ,6,17484,No
APÍA,6,14202,No
SOPETRÁN,6,14192,No
CLEMENCIA,6,12020,No
ALGARROBO,6,11543,No
MEDIO BAUDÓ,6,10891,No
EL ROSARIO,6,10522,No
TOLEDO,6,10500,No
ANZOÁTEGUI,6,10488,No
GUATEQUE,6,10164,No
LEIVA,6,9862,No
FUENTE DE ORO,6,8193,No
ARENAL,6,7685,No
MIRAFLORES,6,7670,No
PIAMONTE,6,5222,No
MACANAL,6,4893,No
JURADÓ,6,4197,No
PULÍ,6,3407,No
CABRERA,6,3047,No
DUITAMA,5,96223,No
SAN PELAYO,5,47042,No
SAN MARCOS,5,46562,No
CHIQUINQUIRÁ,5,45468,No
CALOTO,5,42125,No
CHINÚ,5,41519,No
PUERTO TEJADA,5,40097,No
MELGAR,5,30172,No
OLAYA HERRERA,5,27567,No
AMAGÁ,5,26748,No
MAHATES,5,23494,No
ROVIRA,5,23345,No
GIGANTE,5,22782,No
PONEDERA,5,19293,No
PÁCORA,5,18687,No
ASTREA,5,18249,No
SAN PEDRO,5,16490,No
SALAMINA,5,16233,No
SAN ESTANISLAO,5,15861,No
SAN JUAN DE URABÁ,5,15784,No
VENADILLO,5,14382,No
RESTREPO,5,14236,No
GUASCA,5,12168,No
ICONONZO,5,11838,No
SIBUNDOY,5,11210,No
EL ROBLE,5,10560,No
SIMACOTA,5,10059,No
GUADALUPE,5,9010,No
ALBÁN,5,8253,No
VIGÍA DEL FUERTE,5,7996,No
BAHÍA SOLANO,5,7559,No
SAN JACINTO DEL CAUCA,5,6687,No
HELICONIA,5,6677,No
COROMORO,5,5919,No
GUAYATÁ,5,5075,No
QUEBRADANEGRA,5,4761,No
CHALÁN,5,4208,No
MURILLO,5,3768,No
PAJARITO,5,2684,No
SAN JOSÉ DE URÉ,5,0,No
YUMBO,4,90204,No
ESPINAL,4,69445,No
CHINCHINÁ,4,51665,No
SAN GIL,4,44579,No
CANDELARIA,4,43571,No
MOSQUERA,4,33971,No
SABANALARGA,4,28967,No
SOCORRO,4,27249,No
RIOBLANCO,4,24420,No
PINILLOS,4,21290,No
MARSELLA,4,19746,No
LOS PALMITOS,4,19343,No
TIMANÁ,4,19037,No
ACHÍ,4,18712,No
EL RETÉN,4,16027,No
DONMATÍAS,4,15664,No
GARAGOA,4,15658,No
YOTOCO,4,15430,No
TIQUISIO,4,15124,No
SUCRE,4,14490,No
RESTREPO,4,14236,No
VITERBO,4,14223,No
JARDÍN,4,13664,No
PALESTINA,4,13479,No
BETULIA,4,10799,No
ACANDÍ,4,10549,No
PRADO,4,9364,No
OROCUÉ,4,8335,No
YALÍ,4,7706,No
NÓVITA,4,7222,No
SANTA MARÍA,4,7090,No
TARSO,4,6582,No
JUNÍN,4,6576,No
VALLE DE SAN JUAN,4,5675,No
GUAYABAL DE SÍQUIMA,4,3719,No
SAN BENITO,4,3262,No
OLAYA,4,3211,No
CHIVOR,4,3135,No
BITUIMA,4,2450,No
SAHAGÚN,3,90286,No
CERETÉ,3,87543,No
MADRID,3,57628,No
VILLAMARÍA,3,51460,No
AYAPEL,3,47699,No
GALAPA,3,40085,No
MOMPÓS,3,38927,No
BARBOSA,3,33457,No
SAN LUIS DE SINCÉ,3,31601,No
ÁBREGO,3,28841,No
SILVIA,3,27166,No
MORALES,3,22111,No
LA UNIÓN,3,21779,No
SIBATÉ,3,21588,No
ANDALUCÍA,3,21587,No
TORIBÍO,3,21142,No
MONIQUIRÁ,3,21136,No
ALGECIRAS,3,20818,No
ACEVEDO,3,19920,No
LA CRUZ,3,19494,No
INÍRIDA,3,18718,No
MÁLAGA,3,18540,No
RETIRO,3,18167,No
CAÑASGORDAS,3,17637,No
AQUITANIA,3,15916,No
COVEÑAS,3,15019,No
LA CUMBRE,3,14558,No
TOCAIMA,3,13974,No
CAPARRAPÍ,3,13683,No
SAN JERÓNIMO,3,13216,No
JAMBALÓ,3,12476,No
MORROA,3,12396,No
